Application, Runtime, Log-Likelihood 1500
multi-N, 12.438 s, -24936 
en-N, 11.045 s, -24392
fr-N, 11.089 s, -24239 
es-N, 11.126 s, -24000 
multi-NP, 17 min 52.730 s, -83075
en-NP, 13 min 51.596 s, -15874
fr-NP, 19 min 25.517 s, -248186
es-NP, 10 min 40.674 s, -24791
multi-LN, , 
en-LN, , 
fr-LN, , 
es-LN, 41 min 59.822 s, -12547 
multi-LN-to-EN, , N/A
en-LN-to-EN, , N/A
fr-LN-to-EN, , N/A
es-LN-to-EN, 20.303 s, N/A
multi-LN-to-FR, , N/A
en-LN-to-FR, , N/A
fr-LN-to-FR, , N/A
es-LN-to-FR, 22.065 s, N/A
multi-LN-to-ES, , N/A
en-LN-to-ES, , N/A
fr-LN-to-ES, , N/A
es-LN-to-ES, 22.992 s, N/A
